SetID,WorkoutExerciseID,SetNumber,Repetitions,Weight,RIR
367,115,4,10,30.0,2
368,116,1,9,110.0,2
369,116,2,9,110.0,2
370,116,3,9,110.0,2
371,117,1,11,100.0,2
372,117,2,11,100.0,2
373,117,3,11,100.0,2
374,117,4,11,100.0,2
375,118,1,8,85.0,2
376,118,2,8,85.0,2
377,118,3,8,85.0,2
378,119,1,11,65.0,2
379,119,2,11,65.0,2
380,119,3,11,65.0,2
381,120,1,15,75.0,2
382,120,2,12,80.0,2
383,120,3,12,80.0,2
384,120,4,12,80.0,2
385,121,1,6,75.0,2
386,121,2,6,75.0,2
387,121,3,6,75.0,2
388,121,4,6,75.0,2
389,122,1,8,75.0,2
390,122,2,8,75.0,2
391,122,3,8,75.0,2
392,123,1,10,75.0,2
393,123,2,10,75.0,2
394,123,3,10,75.0,2
395,123,4,10,75.0,2
396,124,1,12,30.0,2
397,124,2,12,30.0,2
398,124,3,12,30.0,2
399,124,4,12,30.0,2
400,125,1,14,30.0,2
401,125,2,8,35.0,2
402,125,3,8,35.0,2
403,126,1,10,110.0,2
404,126,2,10,110.0,2
405,126,3,10,110.0,2
406,127,1,12,100.0,2
407,127,2,12,100.0,2
408,127,3,12,100.0,2
409,128,1,12,80.0,2
410,128,2,12,80.0,2
411,128,3,12,80.0,2
412,129,1,10,140.0,2
413,129,2,10,140.0,2
414,129,3,10,140.0,2
415,130,1,9,30.0,3
416,130,2,9,30.0,3
417,130,3,13,30.0,0
418,131,1,9,35.0,1
419,131,2,9,35.0,1
420,131,3,9,35.0,2
421,131,4,11,35.0,0
422,132,1,11,30.0,2
423,132,2,11,30.0,2
424,132,3,11,30.0,1
425,132,4,11,30.0,0
426,133,1,10,85.0,0
427,133,2,11,85.0,0
428,133,3,8,85.0,0
429,134,1,9,65.0,3
430,134,2,9,65.0,3
431,134,3,9,65.0,1
504,159,1,9,75.0,0
505,159,2,10,75.0,0
506,159,3,10,75.0,0
507,160,1,10,11.0,2
508,160,2,10,11.0,1
509,160,3,9,11.0,0
510,161,1,10,66.0,2
511,161,2,10,66.0,1
512,161,3,8,66.0,0
513,162,1,13,21.0,1
514,162,2,13,21.0,1
515,162,3,13,21.0,0
516,163,1,7,40.0,0
517,163,2,9,40.0,0
518,163,3,9,40.0,0
519,164,1,11,30.0,1
520,164,2,10,30.0,0
521,164,3,10,30.0,0
522,165,1,8,30.0,1
523,165,2,8,30.0,0
524,165,3,8,30.0,0
525,166,1,8,20.0,0
526,166,2,7,20.0,0
527,166,3,7,20.0,0
528,167,1,8,24.0,2
529,167,2,8,24.0,1
530,167,3,8,24.0,0
531,168,1,8,120.0,1
532,168,2,8,120.0,1
533,168,3,8,120.0,0
534,169,1,10,100.0,2
